"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","fe.svd_rank","geometry.exact_solution.exact_solution_file_name","geometry.exact_solution.exact_solution_generation","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.generate_mesh_plot","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","inverse.Sensor_data_file","inverse.num_sensor_points","logging.plot_residual_images","logging.print_verbose","logging.test_errors_last_n_epochs","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","wandb.wandb_run_prefix","epoch","epochs_per_sec","l1","l1_inverse","l1_inverse_relative","l2","l2_inverse","l2_inverse_relative","l2_relative","linf","linf_inverse","linf_inverse_relative","linf_relative","loss_dirichlet","loss_pde","sensor_loss","time_per_epoch","total_loss"
"9_seed_914_28_Sep_2024_20_02","finished","-","","","2024-09-28T14:28:50.000Z","587","","23","Jovita","output/gear_inv/svd/9_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_914","40000","103.07364059653854","0.0004367617402897135","0.019769369592243836","0.04361056722537179","0.0005256213792686727","0.024195658844493984","0.048270994389409794","0.000610481585753287","0.0015180160264802731","0.08003495707725994","0.09517635493384834","0.0013736999467363262","4.36223018596138e-7","0.000003807576604231144","3.899057787748461e-7","0.009701801490783693","0.000012068864634784404"
"9_seed_759_28_Sep_2024_19_52","finished","-","","","2024-09-28T14:18:46.000Z","591","","23","Jovita","output/gear_inv/svd/9_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_759","40000","103.06781198471364","0.0016737870642732275","0.018343320611274756","0.040464750933099904","0.0019355862410433552","0.0233304925907083","0.04654496429240754","0.002248081612354648","0.004589102941195744","0.0818651265428304","0.09735276465536637","0.004152822075604109","0.0000046123223000904545","0.000003800089416472474","0.0000035567813938541804","0.00970235013961792","0.00008549111953470856"
"9_seed_693_28_Sep_2024_19_42","finished","-","","","2024-09-28T14:08:44.000Z","590","","23","Jovita","output/gear_inv/svd/9_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_693","40000","103.05126436677796","0.0003492602653270253","0.02085934475832014","0.04601501593742408","0.0004310221484537578","0.02537883122165042","0.05063145531120113","0.0005006095548262291","0.00245035260617954","0.07805355307517292","0.09282009939930812","0.002217400334302593","0.0000020083073195564793","0.000003797161753027467","0.0000020876591406704392","0.009703908109664917","0.000044756827264791355"
"9_seed_105_28_Sep_2024_19_32","finished","-","","","2024-09-28T13:58:49.000Z","583","","23","Jovita","output/gear_inv/svd/9_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_105","40000","103.0213616725393","0.00030739044989745555","0.017332531926623408","0.038234984947039974","0.00039317159607751986","0.022699149975656065","0.0452854186844599","0.00045664812907822433","0.002334480450613574","0.0860829788342275","0.10236857051576102","0.002112544014505854","2.2950696632051407e-7","0.000003793004907493014","1.676032610475886e-7","0.009706724739074708","0.000007764107067487203"
"9_seed_755_28_Sep_2024_19_22","finished","-","","","2024-09-28T13:48:46.000Z","591","","23","Jovita","output/gear_inv/svd/9_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_755","40000","103.01210770194784","0.00032920992216574645","0.01900135073729783","0.04191634335304779","0.0004202310950483949","0.022861255512085264","0.04560882361795469","0.0004880763138762125","0.002018814978005712","0.07404474988197796","0.08805289155027844","0.001826888504060851","2.35105176216166e-7","0.0000037936633816570975","2.1354598800371605e-7","0.009707596731185913","0.000008280175279651303"
"8_seed_914_28_Sep_2024_19_12","finished","-","","","2024-09-28T13:38:54.000Z","581","","23","Jovita","output/gear_inv/svd/8_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_914","40000","104.38460101358116","0.0003699279120522059","0.020536829932388697","0.04530355903274966","0.0004650721181304632","0.026034420613027513","0.05193937389429529","0.0005401568036691289","0.0020347286920381347","0.10253201499199384","0.12192951439382164","0.0018412893191625224","3.068865908062435e-7","0.000004798352165380493","2.247109165409711e-7","0.009579957103729247","0.000010114326869370416"
"8_seed_759_28_Sep_2024_19_02","finished","-","","","2024-09-28T13:28:56.000Z","585","","23","Jovita","output/gear_inv/svd/8_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_759","40000","104.43672261876443","0.0090708238228212","0.023663333472351857","0.05220052113231101","0.011130513825955375","0.03086484479399567","0.06157620089853468","0.01292750637383198","0.02098070037634059","0.1069398788589564","0.12717127913291104","0.01898608874129987","0.00001804283056117129","0.000004794915184902493","0.00001403928308718605","0.009575176000595091","0.00032561604166403413"
"8_seed_693_28_Sep_2024_18_52","finished","-","","","2024-09-28T13:19:02.000Z","581","","23","Jovita","output/gear_inv/svd/8_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_693","40000","104.46910551387028","0.0008676474693700633","0.026429954394946355","0.05830359423077056","0.0010922833250229889","0.031896749099056675","0.0636348779215554","0.0012686296308565125","0.0037660059303067377","0.09696510077793535","0.11530942459216102","0.003407975973657009","9.150995197160228e-7","0.000004774497938342392","7.759064715173736e-7","0.009572207927703856","0.000021684558305423707"
"8_seed_105_28_Sep_2024_18_42","finished","-","","","2024-09-28T13:09:06.000Z","584","","23","Jovita","output/gear_inv/svd/8_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_105","40000","104.4280191568553","0.0011608828504747217","0.083820964048646","0.184906239446963","0.0014541288744654756","0.1071990950303228","0.21386509654545177","0.001688894204433732","0.004048547900880051","0.2672008988147218","0.31775124911585595","0.00366365699622649","0.000010139457117475104","0.000005163545210962184","0.000007831489710952155","0.00957597403526306","0.0001848730171332136"
"8_seed_755_28_Sep_2024_18_32","finished","-","","","2024-09-28T12:59:13.000Z","581","","23","Jovita","output/gear_inv/svd/8_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_755","40000","104.43203683907984","0.00032380757674694123","0.02420939294060359","0.05340511003121985","0.0004114803720917475","0.028430188816357303","0.05671899631518156","0.00047791280942649874","0.001610939667685107","0.08962903990959636","0.10658549246900968","0.0014577894416737398","1.9621597857621967e-7","0.000004777820322487969","2.0239630771357042e-7","0.009575605630874631","0.00000876394369697664"
"7_seed_914_28_Sep_2024_18_22","finished","-","","","2024-09-28T12:49:18.000Z","581","","23","Jovita","output/gear_inv/svd/7_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","7","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","7_seed_914","40000","104.61783057880965","0.0008834669242089209","0.036842039726575855","0.08127230576163721","0.0010021943661875617","0.04248069894492607","0.08475014437953066","0.0011639960436054847","0.003238265679342822","0.12596987261986248","0.14980145857848146","0.002930407395991425","3.10076444520746e-7","0.00000957312477112282","2.1068315447791977e-7","0.009558600044250487","0.000014780720448470674"
"7_seed_759_28_Sep_2024_18_13","finished","-","","","2024-09-28T12:39:26.000Z","580","","23","Jovita","output/gear_inv/svd/7_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","7","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","7_seed_759","40000","104.67549394966588","0.0003961658686970132","0.03809739231426854","0.08404157152712705","0.0005486127019477945","0.04515321631309326","0.09008188887607514","0.0006371847977635072","0.0018015670608406695","0.12619873563233286","0.1500736189956487","0.0016302941025312738","2.8880873514935956e-7","0.000009561061233398505","2.218358332584103e-7","0.009553334426879882","0.00001466750654799398"
"7_seed_693_28_Sep_2024_18_03","finished","-","","","2024-09-28T12:29:31.000Z","583","","23","Jovita","output/gear_inv/svd/7_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","7","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","7_seed_693","40000","104.63733370387332","0.0010634733607493335","0.04090228335360909","0.09022906722142553","0.0011126912210638502","0.048388329533064184","0.09653602732686","0.0012923323287076687","0.0023151663954673607","0.1241079298508624","0.14758726452727708","0.002095066124903375","0.0000017103051277445047","0.000009551678886055017","0.000001677335944805236","0.009556818437576296","0.00004342808824731037"
"7_seed_105_28_Sep_2024_17_53","finished","-","","","2024-09-28T12:19:36.000Z","583","","23","Jovita","output/gear_inv/svd/7_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","7","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","7_seed_105","40000","104.54353397425822","0.0005198653423134645","0.031147082770391982","0.06870942144585736","0.0006229277803054084","0.03717391014018276","0.07416295705531194","0.0007234978525031357","0.0021252688735745595","0.1101587084907618","0.13099906242531123","0.001923221947266894","0.0000015841761751289596","0.0000095654713732074","0.0000010541701840338646","0.009565393114089963","0.000035948934964835644"
"7_seed_755_28_Sep_2024_17_43","finished","-","","","2024-09-28T12:09:49.000Z","575","","23","Jovita","output/gear_inv/svd/7_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","7","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","7_seed_755","40000","104.62776053645794","0.002496337983405641","0.04162317431864768","0.09181932854697192","0.0029102868320180575","0.051064687009760745","0.10187543294387522","0.003380145082148839","0.007115792210802607","0.13273690715050213","0.1578487132264228","0.006439301832425899","0.00013520476932171732","0.000009908224456012247","0.0001234986848430708","0.009557692861557008","0.0025969427078962326"
"6_seed_914_28_Sep_2024_17_33","finished","-","","","2024-09-28T11:59:53.000Z","583","","23","Jovita","output/gear_inv/svd/6_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","6","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","6_seed_914","40000","104.84742036395686","0.0027821882047325795","0.03011373300153907","0.06642988646364109","0.0028794943988583593","0.03522416391720984","0.07027316055938738","0.0033443812906328056","0.006307547257406787","0.1108815528414201","0.1318586579444763","0.005707895819536765","0.000005876263912796276","0.000011230280506424606","0.0000059697608776332345","0.0095376690864563","0.0001296905247727409"
"6_seed_759_28_Sep_2024_17_23","finished","-","","","2024-09-28T11:49:58.000Z","583","","23","Jovita","output/gear_inv/svd/6_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","6","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","6_seed_759","40000","104.82710317500882","0.0007209953526571819","0.02897421880932563","0.0639161563190397","0.0008427637433840751","0.035311159533088464","0.07044671916810184","0.0009788257608401097","0.002697370992050363","0.11251289445614898","0.1337986246066925","0.0024409349594938855","8.022262250051426e-7","0.000011223046385566704","7.12975520400505e-7","0.009539517641067504","0.00002637506440805737"
"6_seed_693_28_Sep_2024_17_13","finished","-","","","2024-09-28T11:40:05.000Z","581","","23","Jovita","output/gear_inv/svd/6_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","6","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","6_seed_693","40000","104.74183565726734","0.0005367841031289041","0.033680926406399685","0.07429899564604064","0.0006598357055218509","0.04017223311418058","0.08014469255529082","0.000766364466384685","0.0026763734191678212","0.11140029409055507","0.13247553715637914","0.0024219336022966104","6.263885552471038e-7","0.000011218922736588866","4.798661734639609e-7","0.009547283506393433","0.0000222814705921337"
"6_seed_105_28_Sep_2024_17_03","finished","-","","","2024-09-28T11:30:13.000Z","580","","23","Jovita","output/gear_inv/svd/6_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","6","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","6_seed_105","40000","104.68435315317092","0.0004213625970401674","0.03149214698007927","0.06947062153589671","0.0005127166723000026","0.03852637373288045","0.07686115853494835","0.0005954934473619673","0.002458517716391162","0.10768766977910792","0.12806054073348824","0.002224789196651305","5.85268935537897e-7","0.000011221180102438666","5.039775032855687e-7","0.00955252594947815","0.000022113643353804943"
